cliente,fecha,servicio,producto,ubicacion,cantidad,monto_usd,monto_pen,año,mes
Cliente C,2023-09-25 10:44:19.459,Servicio 2,Producto C,Zona Norte,17,14859.82,55724.32,2023,9
Cliente C,2023-09-26 13:02:42.162,Servicio 1,Producto B,Zona Centro,12,873.66,3276.22,2023,9
Cliente D,2023-09-27 15:21:04.865,Servicio 1,Producto A,Zona Sur,11,9251.17,34691.89,2023,9
Cliente A,2023-09-28 17:39:27.568,Servicio 2,Producto B,Zona Norte,5,10062.84,37735.65,2023,9
Cliente D,2023-09-29 19:57:50.270,Servicio 1,Producto C,Zona Norte,12,10476.66,39287.48,2023,9
Cliente C,2023-09-30 22:16:12.973,Servicio 2,Producto B,Zona Norte,17,2245.62,8421.07,2023,9
Cliente A,2023-10-02 00:34:35.676,Servicio 2,Producto B,Zona Centro,6,14108.68,52907.55,2023,10
Cliente D,2023-10-03 02:52:58.378,Servicio 2,Producto B,Zona Centro,1,3127.16,11726.85,2023,10
Cliente D,2023-10-04 05:11:21.081,Servicio 2,Producto C,Zona Sur,5,9529.92,35737.2,2023,10
Cliente C,2023-10-05 07:29:43.784,Servicio 2,Producto B,Zona Centro,14,3728.8,13983.0,2023,10
Cliente A,2023-10-06 09:48:06.486,Servicio 3,Producto B,Zona Centro,5,4954.64,18579.9,2023,10
Cliente C,2023-10-07 12:06:29.189,Servicio 1,Producto A,Zona Norte,1,8423.65,31588.69,2023,10
Cliente A,2023-10-08 14:24:51.892,Servicio 3,Producto C,Zona Norte,18,6549.3,24559.88,2023,10
Cliente E,2023-10-09 16:43:14.595,Servicio 1,Producto B,Zona Norte,16,2823.27,10587.26,2023,10
Cliente B,2023-10-10 19:01:37.297,Servicio 3,Producto C,Zona Norte,9,2978.58,11169.68,2023,10
Cliente B,2023-10-11 21:20:00.000,Servicio 2,Producto B,Zona Norte,19,6563.1,24611.62,2023,10
Cliente B,2023-10-12 23:38:22.703,Servicio 1,Producto B,Zona Norte,5,11480.6,43052.25,2023,10
Cliente C,2023-10-14 01:56:45.405,Servicio 1,Producto B,Zona Norte,2,13520.49,50701.84,2023,10
Cliente E,2023-10-15 04:15:08.108,Servicio 3,Producto A,Zona Sur,15,1719.85,6449.44,2023,10
Cliente A,2023-10-16 06:33:30.811,Servicio 3,Producto A,Zona Sur,7,6200.01,23250.04,2023,10
Cliente D,2023-10-17 08:51:53.514,Servicio 1,Producto A,Zona Sur,4,1953.56,7325.85,2023,10
Cliente A,2023-10-18 11:10:16.216,Servicio 3,Producto C,Zona Sur,1,740.59,2777.21,2023,10
Cliente D,2023-10-19 13:28:38.919,Servicio 3,Producto C,Zona Norte,13,10094.92,37855.95,2023,10
Cliente A,2023-10-20 15:47:01.622,Servicio 3,Producto A,Zona Sur,7,9235.52,34633.2,2023,10
Cliente E,2023-10-21 18:05:24.324,Servicio 2,Producto C,Zona Norte,15,2863.78,10739.18,2023,10
Cliente D,2023-10-22 20:23:47.027,Servicio 2,Producto B,Zona Sur,14,3890.29,14588.59,2023,10
Cliente C,2023-10-23 22:42:09.730,Servicio 3,Producto B,Zona Centro,19,843.76,3164.1,2023,10
Cliente A,2023-10-25 01:00:32.432,Servicio 3,Producto B,Zona Sur,18,12606.73,47275.24,2023,10
Cliente A,2023-10-26 03:18:55.135,Servicio 2,Producto A,Zona Sur,10,14633.01,54873.79,2023,10
Cliente D,2023-10-27 05:37:17.838,Servicio 2,Producto C,Zona Norte,9,2464.16,9240.6,2023,10
Cliente C,2023-10-28 07:55:40.541,Servicio 1,Producto A,Zona Sur,8,3856.39,14461.46,2023,10
Cliente C,2023-10-29 10:14:03.243,Servicio 1,Producto C,Zona Centro,10,13091.94,49094.78,2023,10
Cliente E,2023-10-30 12:32:25.946,Servicio 2,Producto B,Zona Norte,17,13933.73,52251.49,2023,10
Cliente C,2023-10-31 14:50:48.649,Servicio 3,Producto A,Zona Norte,2,6584.6,24692.25,2023,10
Cliente C,2023-11-01 17:09:11.351,Servicio 3,Producto C,Zona Sur,6,1234.03,4627.61,2023,11
Cliente C,2023-11-02 19:27:34.054,Servicio 3,Producto C,Zona Norte,5,1071.18,4016.92,2023,11
Cliente B,2023-11-03 21:45:56.757,Servicio 3,Producto B,Zona Norte,9,8822.27,33083.51,2023,11
Cliente E,2023-11-05 00:04:19.459,Servicio 1,Producto A,Zona Norte,5,6196.98,23238.68,2023,11
Cliente A,2023-11-06 02:22:42.162,Servicio 2,Producto A,Zona Norte,18,915.46,3432.98,2023,11
Cliente D,2023-11-07 04:41:04.865,Servicio 3,Producto A,Zona Norte,9,8957.16,33589.35,2023,11
Cliente A,2023-11-08 06:59:27.568,Servicio 1,Producto B,Zona Norte,17,663.89,2489.59,2023,11
Cliente E,2023-11-09 09:17:50.270,Servicio 3,Producto A,Zona Centro,17,11916.89,44688.34,2023,11
Cliente D,2023-11-10 11:36:12.973,Servicio 2,Producto B,Zona Sur,12,4943.28,18537.3,2023,11
Cliente E,2023-11-11 13:54:35.676,Servicio 1,Producto B,Zona Centro,7,1083.74,4064.02,2023,11
Cliente C,2023-11-12 16:12:58.378,Servicio 2,Producto B,Zona Norte,3,9031.11,33866.66,2023,11
Cliente D,2023-11-13 18:31:21.081,Servicio 2,Producto C,Zona Norte,10,6266.42,23499.08,2023,11
Cliente C,2023-11-14 20:49:43.784,Servicio 1,Producto A,Zona Sur,2,14620.11,54825.41,2023,11
Cliente A,2023-11-15 23:08:06.486,Servicio 1,Producto A,Zona Centro,3,8390.88,31465.8,2023,11
Cliente A,2023-11-17 01:26:29.189,Servicio 1,Producto B,Zona Sur,16,4490.97,16841.14,2023,11
Cliente D,2023-11-18 03:44:51.892,Servicio 1,Producto B,Zona Centro,2,10786.86,40450.73,2023,11
Cliente D,2023-11-19 06:03:14.595,Servicio 1,Producto A,Zona Norte,10,4436.63,16637.36,2023,11
Cliente E,2023-11-20 08:21:37.297,Servicio 1,Producto B,Zona Sur,6,13611.53,51043.24,2023,11
Cliente E,2023-11-21 10:40:00.000,Servicio 1,Producto A,Zona Sur,11,5933.47,22250.51,2023,11
Cliente C,2023-11-22 12:58:22.703,Servicio 3,Producto C,Zona Norte,7,8473.09,31774.09,2023,11
Cliente D,2023-11-23 15:16:45.405,Servicio 2,Producto B,Zona Sur,15,1233.31,4624.91,2023,11
Cliente A,2023-11-24 17:35:08.108,Servicio 1,Producto A,Zona Centro,6,6678.76,25045.35,2023,11
Cliente E,2023-11-25 19:53:30.811,Servicio 3,Producto B,Zona Centro,9,12569.27,47134.76,2023,11
Cliente E,2023-11-26 22:11:53.514,Servicio 3,Producto A,Zona Centro,12,12181.91,45682.16,2023,11
Cliente A,2023-11-28 00:30:16.216,Servicio 3,Producto A,Zona Centro,19,3752.62,14072.32,2023,11
Cliente E,2023-11-29 02:48:38.919,Servicio 2,Producto B,Zona Norte,3,3778.15,14168.06,2023,11
Cliente C,2023-11-30 05:07:01.622,Servicio 1,Producto C,Zona Sur,15,12350.93,46315.99,2023,11
Cliente D,2023-12-01 07:25:24.324,Servicio 3,Producto A,Zona Centro,2,13990.78,52465.42,2023,12
Cliente A,2023-12-02 09:43:47.027,Servicio 2,Producto A,Zona Norte,2,1882.73,7060.24,2023,12
Cliente D,2023-12-03 12:02:09.730,Servicio 2,Producto A,Zona Sur,3,7025.85,26346.94,2023,12
Cliente E,2023-12-04 14:20:32.432,Servicio 2,Producto C,Zona Sur,6,5393.09,20224.09,2023,12
Cliente E,2023-12-05 16:38:55.135,Servicio 3,Producto C,Zona Norte,15,13124.98,49218.68,2023,12
Cliente A,2023-12-06 18:57:17.838,Servicio 1,Producto B,Zona Norte,10,1711.11,6416.66,2023,12
Cliente C,2023-12-07 21:15:40.541,Servicio 3,Producto C,Zona Centro,9,3561.33,13354.99,2023,12
Cliente B,2023-12-08 23:34:03.243,Servicio 3,Producto B,Zona Sur,1,11410.79,42790.46,2023,12
Cliente A,2023-12-10 01:52:25.946,Servicio 1,Producto B,Zona Sur,16,1243.76,4664.1,2023,12
Cliente B,2023-12-11 04:10:48.649,Servicio 1,Producto C,Zona Norte,6,7641.76,28656.6,2023,12
Cliente B,2023-12-12 06:29:11.351,Servicio 1,Producto B,Zona Sur,9,6910.55,25914.56,2023,12
Cliente C,2023-12-13 08:47:34.054,Servicio 2,Producto C,Zona Centro,4,5348.82,20058.07,2023,12
Cliente B,2023-12-14 11:05:56.757,Servicio 1,Producto B,Zona Sur,2,6221.3,23329.88,2023,12
Cliente B,2023-12-15 13:24:19.459,Servicio 3,Producto C,Zona Norte,4,8184.14,30690.52,2023,12
Cliente C,2023-12-16 15:42:42.162,Servicio 1,Producto C,Zona Norte,1,2839.83,10649.36,2023,12
Cliente B,2023-12-17 18:01:04.865,Servicio 3,Producto B,Zona Centro,19,8793.94,32977.28,2023,12
Cliente B,2023-12-18 20:19:27.568,Servicio 2,Producto A,Zona Centro,10,12178.77,45670.39,2023,12
Cliente B,2023-12-19 22:37:50.270,Servicio 3,Producto B,Zona Sur,15,11522.33,43208.74,2023,12
Cliente A,2023-12-21 00:56:12.973,Servicio 3,Producto C,Zona Sur,19,2731.55,10243.31,2023,12
Cliente A,2023-12-22 03:14:35.676,Servicio 1,Producto A,Zona Norte,16,2664.12,9990.45,2023,12
Cliente A,2023-12-23 05:32:58.378,Servicio 1,Producto B,Zona Centro,4,4388.53,16456.99,2023,12
Cliente C,2023-12-24 07:51:21.081,Servicio 3,Producto B,Zona Centro,2,5735.58,21508.42,2023,12
Cliente E,2023-12-25 10:09:43.784,Servicio 1,Producto B,Zona Centro,13,6422.61,24084.79,2023,12
Cliente B,2023-12-26 12:28:06.486,Servicio 2,Producto A,Zona Sur,1,10355.61,38833.54,2023,12
Cliente B,2023-12-27 14:46:29.189,Servicio 2,Producto C,Zona Centro,17,1321.87,4957.01,2023,12
Cliente C,2023-12-28 17:04:51.892,Servicio 1,Producto B,Zona Norte,13,1002.75,3760.31,2023,12
Cliente B,2023-12-29 19:23:14.595,Servicio 2,Producto B,Zona Norte,4,6182.7,23185.12,2023,12
Cliente A,2023-12-30 21:41:37.297,Servicio 1,Producto B,Zona Sur,7,10608.87,39783.26,2023,12
Cliente E,2024-01-01 00:00:00.000,Servicio 3,Producto B,Zona Sur,17,3304.81,12393.04,2024,1
Cliente D,2024-01-02 02:18:22.703,Servicio 3,Producto B,Zona Centro,9,9801.81,36756.79,2024,1
Cliente B,2024-01-03 04:36:45.405,Servicio 2,Producto C,Zona Sur,4,4267.51,16003.16,2024,1
Cliente A,2024-01-04 06:55:08.108,Servicio 1,Producto C,Zona Norte,19,13348.25,50055.94,2024,1
Cliente D,2024-01-05 09:13:30.811,Servicio 1,Producto B,Zona Centro,1,13487.5,50578.12,2024,1
Cliente E,2024-01-06 11:31:53.514,Servicio 2,Producto A,Zona Norte,10,4810.66,18039.97,2024,1
Cliente D,2024-01-07 13:50:16.216,Servicio 3,Producto C,Zona Centro,4,3834.91,14380.91,2024,1
Cliente A,2024-01-08 16:08:38.919,Servicio 2,Producto A,Zona Sur,9,6463.91,24239.66,2024,1
Cliente D,2024-01-09 18:27:01.622,Servicio 3,Producto C,Zona Centro,13,3987.71,14953.91,2024,1
Cliente C,2024-01-10 20:45:24.324,Servicio 1,Producto B,Zona Centro,14,10249.57,38435.89,2024,1
Cliente D,2024-01-11 23:03:47.027,Servicio 3,Producto C,Zona Norte,10,12477.94,46792.28,2024,1
Cliente B,2024-01-13 01:22:09.730,Servicio 2,Producto B,Zona Norte,6,10259.84,38474.4,2024,1
Cliente B,2024-01-14 03:40:32.432,Servicio 1,Producto C,Zona Centro,16,12453.08,46699.05,2024,1
Cliente C,2024-01-15 05:58:55.135,Servicio 2,Producto B,Zona Sur,6,6256.39,23461.46,2024,1
Cliente A,2024-01-16 08:17:17.838,Servicio 2,Producto B,Zona Sur,17,2766.6,10374.75,2024,1
Cliente B,2024-01-17 10:35:40.541,Servicio 3,Producto B,Zona Norte,10,11200.29,42001.09,2024,1
Cliente E,2024-01-18 12:54:03.243,Servicio 2,Producto B,Zona Sur,18,5726.88,21475.8,2024,1
Cliente B,2024-01-19 15:12:25.946,Servicio 3,Producto A,Zona Norte,18,10233.43,38375.36,2024,1
Cliente B,2024-01-20 17:30:48.649,Servicio 1,Producto B,Zona Sur,3,4424.34,16591.28,2024,1
Cliente A,2024-01-21 19:49:11.351,Servicio 3,Producto A,Zona Centro,15,1677.83,6291.86,2024,1
Cliente D,2024-01-22 22:07:34.054,Servicio 1,Producto A,Zona Norte,15,14892.44,55846.65,2024,1
Cliente B,2024-01-24 00:25:56.757,Servicio 3,Producto B,Zona Norte,4,2764.92,10368.45,2024,1
Cliente C,2024-01-25 02:44:19.459,Servicio 2,Producto A,Zona Centro,9,14832.1,55620.38,2024,1
Cliente D,2024-01-26 05:02:42.162,Servicio 3,Producto C,Zona Norte,19,14670.56,55014.6,2024,1
Cliente E,2024-01-27 07:21:04.865,Servicio 3,Producto B,Zona Sur,17,12010.36,45038.85,2024,1
Cliente A,2024-01-28 09:39:27.568,Servicio 1,Producto A,Zona Sur,11,10061.63,37731.11,2024,1
Cliente E,2024-01-29 11:57:50.270,Servicio 2,Producto B,Zona Norte,9,8878.2,33293.25,2024,1
Cliente D,2024-01-30 14:16:12.973,Servicio 3,Producto B,Zona Sur,10,13058.47,48969.26,2024,1
Cliente D,2024-01-31 16:34:35.676,Servicio 2,Producto B,Zona Norte,18,4696.87,17613.26,2024,1
Cliente D,2024-02-01 18:52:58.378,Servicio 3,Producto A,Zona Centro,13,7281.38,27305.18,2024,2
Cliente E,2024-02-02 21:11:21.081,Servicio 3,Producto C,Zona Norte,8,9481.15,35554.31,2024,2
Cliente D,2024-02-03 23:29:43.784,Servicio 2,Producto C,Zona Centro,7,6462.26,24233.48,2024,2
Cliente E,2024-02-05 01:48:06.486,Servicio 3,Producto A,Zona Sur,17,6698.55,25119.56,2024,2
Cliente D,2024-02-06 04:06:29.189,Servicio 2,Producto B,Zona Centro,15,5289.13,19834.24,2024,2
Cliente C,2024-02-07 06:24:51.892,Servicio 3,Producto A,Zona Sur,15,8681.36,32555.1,2024,2
Cliente D,2024-02-08 08:43:14.595,Servicio 1,Producto A,Zona Norte,1,12833.33,48124.99,2024,2
Cliente E,2024-02-09 11:01:37.297,Servicio 2,Producto A,Zona Sur,14,3422.16,12833.1,2024,2
Cliente B,2024-02-10 13:20:00.000,Servicio 3,Producto B,Zona Norte,5,14049.28,52684.8,2024,2
Cliente D,2024-02-11 15:38:22.703,Servicio 3,Producto A,Zona Norte,11,10491.77,39344.14,2024,2
Cliente B,2024-02-12 17:56:45.405,Servicio 1,Producto B,Zona Centro,16,12437.46,46640.48,2024,2
Cliente C,2024-02-13 20:15:08.108,Servicio 2,Producto A,Zona Centro,2,8564.77,32117.89,2024,2
Cliente A,2024-02-14 22:33:30.811,Servicio 3,Producto C,Zona Centro,8,11802.99,44261.21,2024,2
Cliente C,2024-02-16 00:51:53.514,Servicio 1,Producto A,Zona Centro,11,734.91,2755.91,2024,2
Cliente D,2024-02-17 03:10:16.216,Servicio 3,Producto A,Zona Sur,18,12366.52,46374.45,2024,2
Cliente B,2024-02-18 05:28:38.919,Servicio 2,Producto C,Zona Sur,3,1082.01,4057.54,2024,2
Cliente B,2024-02-19 07:47:01.622,Servicio 3,Producto B,Zona Sur,1,13403.74,50264.02,2024,2
Cliente E,2024-02-20 10:05:24.324,Servicio 3,Producto B,Zona Norte,11,14883.46,55812.98,2024,2
Cliente B,2024-02-21 12:23:47.027,Servicio 3,Producto A,Zona Sur,16,4763.98,17864.92,2024,2
Cliente E,2024-02-22 14:42:09.730,Servicio 3,Producto C,Zona Sur,18,3549.62,13311.08,2024,2
Cliente A,2024-02-23 17:00:32.432,Servicio 1,Producto B,Zona Sur,16,11597.77,43491.64,2024,2
Cliente D,2024-02-24 19:18:55.135,Servicio 1,Producto A,Zona Centro,10,4168.88,15633.3,2024,2
Cliente E,2024-02-25 21:37:17.838,Servicio 2,Producto C,Zona Sur,18,13050.65,48939.94,2024,2
Cliente A,2024-02-26 23:55:40.541,Servicio 1,Producto B,Zona Norte,6,1991.22,7467.08,2024,2
Cliente B,2024-02-28 02:14:03.243,Servicio 1,Producto B,Zona Centro,19,2326.35,8723.81,2024,2
Cliente B,2024-02-29 04:32:25.946,Servicio 2,Producto C,Zona Norte,4,14697.7,55116.38,2024,2
Cliente A,2024-03-01 06:50:48.649,Servicio 1,Producto C,Zona Sur,13,10270.66,38514.98,2024,3
Cliente B,2024-03-02 09:09:11.351,Servicio 1,Producto C,Zona Centro,14,12779.86,47924.48,2024,3
Cliente A,2024-03-03 11:27:34.054,Servicio 2,Producto C,Zona Norte,3,5202.78,19510.42,2024,3
Cliente E,2024-03-04 13:45:56.757,Servicio 2,Producto A,Zona Sur,10,10309.01,38658.79,2024,3
Cliente E,2024-03-05 16:04:19.459,Servicio 2,Producto C,Zona Norte,6,9116.51,34186.91,2024,3
Cliente A,2024-03-06 18:22:42.162,Servicio 3,Producto B,Zona Norte,1,9245.68,34671.3,2024,3
Cliente E,2024-03-07 20:41:04.865,Servicio 3,Producto B,Zona Norte,14,10396.72,38987.7,2024,3
Cliente E,2024-03-08 22:59:27.568,Servicio 2,Producto A,Zona Sur,8,8842.71,33160.16,2024,3
Cliente E,2024-03-10 01:17:50.270,Servicio 2,Producto B,Zona Sur,19,6721.4,25205.25,2024,3
Cliente C,2024-03-11 03:36:12.973,Servicio 2,Producto B,Zona Norte,14,4500.88,16878.3,2024,3
Cliente D,2024-03-12 05:54:35.676,Servicio 3,Producto C,Zona Centro,10,11644.43,43666.61,2024,3
Cliente B,2024-03-13 08:12:58.378,Servicio 3,Producto B,Zona Centro,17,3780.95,14178.56,2024,3
Cliente C,2024-03-14 10:31:21.081,Servicio 1,Producto A,Zona Sur,9,10539.14,39521.77,2024,3
Cliente E,2024-03-15 12:49:43.784,Servicio 1,Producto C,Zona Sur,6,3883.33,14562.49,2024,3
Cliente A,2024-03-16 15:08:06.486,Servicio 2,Producto C,Zona Sur,11,9567.29,35877.34,2024,3
Cliente E,2024-03-17 17:26:29.189,Servicio 3,Producto A,Zona Sur,7,11332.63,42497.36,2024,3
Cliente D,2024-03-18 19:44:51.892,Servicio 3,Producto C,Zona Sur,17,3671.35,13767.56,2024,3
Cliente E,2024-03-19 22:03:14.595,Servicio 3,Producto C,Zona Centro,1,1369.18,5134.42,2024,3
Cliente A,2024-03-21 00:21:37.297,Servicio 2,Producto A,Zona Sur,5,2399.12,8996.7,2024,3
Cliente D,2024-03-22 02:40:00.000,Servicio 1,Producto C,Zona Norte,9,9286.96,34826.1,2024,3
Cliente E,2024-03-23 04:58:22.703,Servicio 2,Producto A,Zona Norte,18,12816.97,48063.64,2024,3
Cliente D,2024-03-24 07:16:45.405,Servicio 1,Producto A,Zona Centro,2,1152.45,4321.69,2024,3
Cliente B,2024-03-25 09:35:08.108,Servicio 1,Producto B,Zona Norte,11,11145.19,41794.46,2024,3
Cliente B,2024-03-26 11:53:30.811,Servicio 2,Producto B,Zona Centro,6,5449.12,20434.2,2024,3
Cliente E,2024-03-27 14:11:53.514,Servicio 1,Producto C,Zona Centro,8,7438.66,27894.98,2024,3
Cliente D,2024-03-28 16:30:16.216,Servicio 1,Producto C,Zona Norte,4,13968.46,52381.72,2024,3
Cliente A,2024-03-29 18:48:38.919,Servicio 3,Producto A,Zona Sur,18,5313.59,19925.96,2024,3
Cliente E,2024-03-30 21:07:01.622,Servicio 1,Producto C,Zona Norte,11,7247.39,27177.71,2024,3
Cliente B,2024-03-31 23:25:24.324,Servicio 2,Producto A,Zona Norte,5,698.4,2619.0,2024,3
Cliente B,2024-04-02 01:43:47.027,Servicio 2,Producto A,Zona Centro,15,1683.18,6311.92,2024,4
Cliente E,2024-04-03 04:02:09.730,Servicio 1,Producto C,Zona Norte,18,4249.58,15935.92,2024,4
Cliente D,2024-04-04 06:20:32.432,Servicio 3,Producto A,Zona Centro,2,903.86,3389.48,2024,4
Cliente B,2024-04-05 08:38:55.135,Servicio 3,Producto B,Zona Sur,11,9654.94,36206.02,2024,4
Cliente D,2024-04-06 10:57:17.838,Servicio 1,Producto C,Zona Sur,13,6682.78,25060.42,2024,4
Cliente B,2024-04-07 13:15:40.541,Servicio 1,Producto B,Zona Sur,4,8448.11,31680.41,2024,4
Cliente B,2024-04-08 15:34:03.243,Servicio 2,Producto C,Zona Norte,7,3032.38,11371.42,2024,4
Cliente C,2024-04-09 17:52:25.946,Servicio 1,Producto A,Zona Centro,11,4791.01,17966.29,2024,4
Cliente B,2024-04-10 20:10:48.649,Servicio 3,Producto C,Zona Sur,4,10125.45,37970.44,2024,4
Cliente A,2024-04-11 22:29:11.351,Servicio 1,Producto B,Zona Centro,15,14496.89,54363.34,2024,4
Cliente E,2024-04-13 00:47:34.054,Servicio 2,Producto A,Zona Centro,1,1231.04,4616.4,2024,4
Cliente E,2024-04-14 03:05:56.757,Servicio 2,Producto C,Zona Sur,3,13410.57,50289.64,2024,4
Cliente D,2024-04-15 05:24:19.459,Servicio 2,Producto C,Zona Sur,14,8864.78,33242.93,2024,4
Cliente B,2024-04-16 07:42:42.162,Servicio 2,Producto C,Zona Centro,6,8676.83,32538.11,2024,4
Cliente A,2024-04-17 10:01:04.865,Servicio 2,Producto B,Zona Sur,18,7754.04,29077.65,2024,4
Cliente D,2024-04-18 12:19:27.568,Servicio 1,Producto B,Zona Centro,1,1506.21,5648.29,2024,4
Cliente C,2024-04-19 14:37:50.270,Servicio 1,Producto C,Zona Centro,6,1803.21,6762.04,2024,4
Cliente D,2024-04-20 16:56:12.973,Servicio 1,Producto A,Zona Sur,6,9213.22,34549.57,2024,4
Cliente D,2024-04-21 19:14:35.676,Servicio 1,Producto A,Zona Norte,16,5443.9,20414.62,2024,4
Cliente B,2024-04-22 21:32:58.378,Servicio 2,Producto B,Zona Sur,5,13800.39,51751.46,2024,4
Cliente C,2024-04-23 23:51:21.081,Servicio 3,Producto A,Zona Norte,17,6395.56,23983.35,2024,4
Cliente D,2024-04-25 02:09:43.784,Servicio 1,Producto B,Zona Centro,10,2577.58,9665.92,2024,4
Cliente A,2024-04-26 04:28:06.486,Servicio 3,Producto C,Zona Centro,18,10863.42,40737.82,2024,4
Cliente A,2024-04-27 06:46:29.189,Servicio 1,Producto B,Zona Norte,7,4753.62,17826.08,2024,4
Cliente E,2024-04-28 09:04:51.892,Servicio 1,Producto B,Zona Centro,3,8119.32,30447.45,2024,4
Cliente C,2024-04-29 11:23:14.595,Servicio 3,Producto C,Zona Norte,13,10618.58,39819.68,2024,4
Cliente C,2024-04-30 13:41:37.297,Servicio 2,Producto A,Zona Norte,15,13553.83,50826.86,2024,4
Cliente E,2024-05-01 16:00:00.000,Servicio 1,Producto B,Zona Centro,19,11986.77,44950.39,2024,5
Cliente D,2024-05-02 18:18:22.703,Servicio 1,Producto B,Zona Norte,3,10307.24,38652.15,2024,5
Cliente C,2024-05-03 20:36:45.405,Servicio 1,Producto C,Zona Sur,4,10354.68,38830.05,2024,5
Cliente A,2024-05-04 22:55:08.108,Servicio 3,Producto A,Zona Sur,5,14215.91,53309.66,2024,5
Cliente A,2024-05-06 01:13:30.811,Servicio 2,Producto B,Zona Centro,1,4789.45,17960.44,2024,5
Cliente B,2024-05-07 03:31:53.514,Servicio 3,Producto C,Zona Centro,4,516.13,1935.49,2024,5
Cliente C,2024-05-08 05:50:16.216,Servicio 3,Producto B,Zona Norte,12,4443.34,16662.53,2024,5
Cliente D,2024-05-09 08:08:38.919,Servicio 2,Producto C,Zona Norte,10,3659.43,13722.86,2024,5
Cliente E,2024-05-10 10:27:01.622,Servicio 3,Producto A,Zona Norte,13,10096.6,37862.25,2024,5
Cliente E,2024-05-11 12:45:24.324,Servicio 2,Producto A,Zona Norte,14,9688.82,36333.07,2024,5
Cliente D,2024-05-12 15:03:47.027,Servicio 1,Producto A,Zona Sur,5,9105.19,34144.46,2024,5
Cliente B,2024-05-13 17:22:09.730,Servicio 2,Producto A,Zona Sur,4,735.53,2758.24,2024,5
Cliente E,2024-05-14 19:40:32.432,Servicio 1,Producto B,Zona Centro,14,11067.28,41502.3,2024,5
Cliente C,2024-05-15 21:58:55.135,Servicio 3,Producto B,Zona Norte,10,5191.19,19466.96,2024,5
Cliente B,2024-05-17 00:17:17.838,Servicio 3,Producto A,Zona Norte,17,10143.31,38037.41,2024,5
Cliente C,2024-05-18 02:35:40.541,Servicio 1,Producto A,Zona Centro,10,8570.39,32138.96,2024,5
Cliente A,2024-05-19 04:54:03.243,Servicio 3,Producto A,Zona Norte,7,5469.6,20511.0,2024,5
Cliente B,2024-05-20 07:12:25.946,Servicio 2,Producto B,Zona Norte,16,2451.36,9192.6,2024,5
Cliente E,2024-05-21 09:30:48.649,Servicio 1,Producto A,Zona Norte,1,1869.07,7009.01,2024,5
Cliente B,2024-05-22 11:49:11.351,Servicio 3,Producto A,Zona Norte,17,12557.02,47088.82,2024,5
Cliente B,2024-05-23 14:07:34.054,Servicio 1,Producto A,Zona Norte,9,13816.76,51812.85,2024,5
Cliente B,2024-05-24 16:25:56.757,Servicio 2,Producto C,Zona Centro,6,9921.93,37207.24,2024,5
Cliente B,2024-05-25 18:44:19.459,Servicio 2,Producto A,Zona Norte,19,1999.79,7499.21,2024,5
Cliente C,2024-05-26 21:02:42.162,Servicio 3,Producto C,Zona Centro,13,6329.39,23735.21,2024,5
Cliente A,2024-05-27 23:21:04.865,Servicio 2,Producto C,Zona Norte,3,11069.62,41511.08,2024,5
Cliente D,2024-05-29 01:39:27.568,Servicio 1,Producto A,Zona Sur,7,11807.4,44277.75,2024,5
Cliente B,2024-05-30 03:57:50.270,Servicio 2,Producto C,Zona Sur,9,2214.17,8303.14,2024,5
Cliente E,2024-05-31 06:16:12.973,Servicio 1,Producto A,Zona Sur,5,500.45,1876.69,2024,5
Cliente B,2024-06-01 08:34:35.676,Servicio 1,Producto B,Zona Sur,10,10825.99,40597.46,2024,6
Cliente E,2024-06-02 10:52:58.378,Servicio 2,Producto B,Zona Centro,17,5670.64,21264.9,2024,6
Cliente C,2024-06-03 13:11:21.081,Servicio 3,Producto B,Zona Centro,12,4189.98,15712.42,2024,6
Cliente E,2024-06-04 15:29:43.784,Servicio 2,Producto B,Zona Norte,16,687.01,2576.29,2024,6
Cliente D,2024-06-05 17:48:06.486,Servicio 1,Producto C,Zona Sur,3,8334.34,31253.78,2024,6
Cliente A,2024-06-06 20:06:29.189,Servicio 1,Producto A,Zona Centro,9,12841.69,48156.34,2024,6
Cliente E,2024-06-07 22:24:51.892,Servicio 2,Producto A,Zona Norte,15,14385.66,53946.22,2024,6
Cliente E,2024-06-09 00:43:14.595,Servicio 3,Producto A,Zona Norte,5,8703.3,32637.37,2024,6
Cliente A,2024-06-10 03:01:37.297,Servicio 3,Producto B,Zona Centro,13,7959.69,29848.84,2024,6
Cliente D,2024-06-11 05:20:00.000,Servicio 1,Producto B,Zona Sur,14,1733.32,6499.95,2024,6
Cliente B,2024-06-12 07:38:22.703,Servicio 1,Producto A,Zona Norte,15,8458.66,31719.98,2024,6
Cliente E,2024-06-13 09:56:45.405,Servicio 3,Producto B,Zona Sur,16,6009.7,22536.38,2024,6
Cliente A,2024-06-14 12:15:08.108,Servicio 2,Producto A,Zona Sur,13,9303.46,34887.98,2024,6
Cliente C,2024-06-15 14:33:30.811,Servicio 1,Producto A,Zona Sur,17,6136.53,23011.99,2024,6
Cliente A,2024-06-16 16:51:53.514,Servicio 1,Producto A,Zona Norte,8,3984.34,14941.28,2024,6
Cliente C,2024-06-17 19:10:16.216,Servicio 3,Producto A,Zona Sur,2,1877.0,7038.75,2024,6
Cliente D,2024-06-18 21:28:38.919,Servicio 2,Producto A,Zona Norte,5,5066.32,18998.7,2024,6
